user,total_staked,staked_count,total_withdrawn,withdrawn_count,total_mor_claimed,claim_count,mor_balance
0x018e8bABeC8c6ef8Fb29F7E12F2b2eBCdb47614b,100.0,1,0.0,0.0,0.0,0.0,0.0
0x01974549C9B9a30d47c548A16b120b1cAa7B586C,9.600000000000001e-14,3,0.0,0.0,1179.169370898444,2.0,884.169370898444
0x01CD526f64aABFE6F8AA07d0E8A67D211624902D,26.002583731017374,1,26.002583731017374,1.0,71.8090241913884,1.0,0.0
0x01CFD3546cD873a0A6705961B3fa6D0485FF4035,1.0871946831692327,1,0.0,0.0,0.0,0.0,0.0
0x01F9786f7D263c135079Ea578b096E3e373a5d6d,0.10905061759568181,1,0.10905061759568181,1.0,0.3117098548668697,1.0,0.3117098548668697
0x01FEB9bB4b1723c61cf68710Ee00AFD3724104B5,1.0084473691383462,1,1.0084473691383462,1.0,0.0,0.0,0.0
0x01b2E49f1F3fBF81DB90Fc9718672900c12Dd249,178.56673905311226,2,0.0,0.0,89.86592943474758,1.0,0.0
0x01e356C30A81Fafd15eeB7e927ca62fb25Bc6051,10.0,1,10.0,1.0,7.668312321364456,1.0,1e-18
0x01f91EfB822164e807C7BcBc3C40C4484263dFD8,5.5e-14,4,0.0,0.0,94.13581131221268,2.0,0.0
0x01fDA9D69D6B170161eFAd2dc67202C9a63c62AA,0.2,1,0.2,1.0,0.5756413170472341,1.0,0.5756413170472341
0x0205b690062C25133471e8436d5F4d4Db7bED4e2,2.017917379664678,2,1.007,1.0,0.0,0.0,0.0
0x02125C2258F7F8B661Ef2a4DE2852DDceFaFeC03,0.3287430399002582,1,0.3287430399002582,1.0,0.9719804811224821,1.0,0.9719804811224821
0x02143B5A5f62B1E389875d25c237b804429D677f,0.058107565131959735,1,0.058107565131959735,1.0,0.09163128603623241,1.0,0.09163128603623241
0x022C3cc02542Ae869B8B785873b017eafFDA7c4d,12.7,1,12.7,1.0,5.086105922148322,1.0,5.086105922148322
0x02314bDC21c4fB381e04420098F4E8F458429f34,35.9,1,35.9,1.0,33.85800082735392,1.0,0.0
0x0233daf4B3542ae2237aceB8cCf87c7645dC6c3A,124.01231,3,124.01230999999999,2.0,289.5816369858908,3.0,0.0
0x025BAe265997BDDf28299E5E12CD451DB2E315D4,1.03,1,1.03,1.0,2.889034248694778,1.0,2.889034248694778
0x0282e055D3b2f7c0AD656952Ac1bB989FB6D0086,1.5008742510890847,2,1.5008742510890845,1.0,2.5327721517472352,1.0,2.5327721517472352
0x02947B1F9818d68F906b1767842aAa09fdb5E2e1,13.55,7,13.51,2.0,0.0,0.0,0.0
