address,mor_balance
0xf80f910798587B06eE5beB1787fCb9A1A5cEA729,1035392103283846978
0xc6571c2FB66825F13b7751b1c334810D397618Eb,0
0x1e5b682373dA18cfE034C22B38873c33da70861d,117063788393282048
0x872A2586a0679e0f7FE1beF855e1A87f727CD5D1,85954727256431392793
0x147D486BE9d39cB92c1FB46e6a0F13e5E057A9e6,0
0x9d0Aa99Cb5E64D4Fc6203906c02eD2409c9E78B5,0
0xeBce93CaB19D4cF618a3A4e5D1A0E6a21cdDefe9,31074250412810912489
0x3aC91D07b5818dF0C3c31A1779136EdF9f4e9EB9,0
0x1330E8e91EA44EBacbC76f926D1C54D32435d149,20381196810555123048
0xFA47FA4f95110Bce0B7716056f41e5D982BBfBba,263485914216957473824
0x6b0Fc107c0514729B6d5DD7B2A261cf0a8af8152,0
0xF3b8B9ef2a57183bf6236FAEDcCcc9F93ff472c6,0
0xb9666D3fC15a5B69dC01256cbD170b2EA8C5ebbb,0
0xCfAe0B76AaB7ccd864d09766FcCE71eDe1b4e214,453054862953422562
0x2AD0fB45590be993f529D6365540bBA3E9ecbAc0,11388005853866756470
0xff84613bDD2FbbEC920dB5FB7Da0e828De3d48Ac,31262211015555861145
0x293D9d8e3f79B236be531029cc34cb52ac4392B3,10838914935685277959
0x6949a8837efF81e7fE03CC754f72884bb9BF0bed,0
0x92278B5455Eb63CBb5A68Eb7c7D589DB75d789bb,0
0x0611bf5A24c05264A940DA19E98235C3b873eBAA,1952581643209285222
0xaFB564cAdABF79ED83FE44D442F99E9ACA0858b7,0
0x8Ac350Df7264d4dB8Bd66c0c2673E5Bb5ffd74C1,1202585541710364063
0x1BeB8b8F73fE2932F0160e7a2a6FA6bf14549A37,885144737960938510
0xd23dE52C9AA73c63d1bbcD33fc97B4D82203c738,3882078054590722493
0xe475554e404aD273D9EA7ED1b507cE1E25a84001,0
0xa2fe27CbFd4b2613d23583D43594E0Fa6023AD27,156916098103152509
0xF0268A2d2250A03423cbAEE387F22fC38D0e0a31,0
0x3C5066B9Ce10745d4548BB04Cfbd2c1FbA7494B1,1507071484182589873
0x58633d2BFa2884e7B3251E7ca98F49C1b9e39874,6076317558338135744
0xedF21947b359EB913c086Ff871B09D16Da3D6051,338638507839399267
0x5D43d628F308f310dbDCa2cb4076AD514F0ff90A,0
0xD8A5529690cDf546FDcF07D593947cE298d60C51,2621387011251524812238
0x9D4f5De4367870a599b086FF2D7789544a85B6D7,0
0x06d4B89475a53111e8939b1aE8Af7e14804A5186,5258833697655916579
0x6234A0d0510c6428faB8eb20C2a081d77bEae4dd,0
0xa0a8e1304550C3663B2018E5c3b6F06370770752,219867593973234128665
0x2701ACdCdd03212Bf95e332B8FB0e33682E4F47F,0
0xF30bf4b29e3E4c55E123E1712223231F80cA6d11,93039355781849079479
0x97D99f2351b9B1102102f6922D5BC55a3D6cbB5B,285032117799259219451
0xdD3f50295082AF1A4E87446E02D53e479E0F51f4,0
0x07D21D13aB8A3D18C5EB523b1Ef9bD494787b422,7527170996787604
0x7eC87BAAc5148264184Af5A0Cf2453683BFb5665,47547335737380249018
0x5e8CF165fa314711f63a228E69843f690DFF28F5,485504854991205177266
0xD82d624274eA10faDb7c2AE30d233b9f7bEa464d,2662834131275628596
0xf5B1Bd2C5F11e4dC29Cbcdf9B6bf124791A8643e,0
0x8CDAEcA87f336Aeb5EB4F502CB6A300cCF8A2f4A,3035842598
0x5FEfc5eB0D90cD9311FcC826B94d4db2F4b6CaD2,0
0x1EFd51184959474327a094d61a373103B7C5e114,0
0x41b57d75C5e3d267f0F109b09ADE560dB3C8714c,0
0xaa95E1Cdd97209d8525A58c0707a995023DaF832,790384986332346380
0x50c7455004f331258E1Acb0a8D526176a1e60980,0
0x4e0Db807Fc76315B9B9838C4E2358913DD0D701F,0
0x33bF12C0F76AEf7bb292B6862E5c431c1Beda79E,8009961585874354643
0x5a5353d9EF85559496e416318Aa79BE70E27bC49,0
0x3C2c3Da176FF802536447AA555794A6Cd8efaCE7,309535749329830196
0xD5ac4FA2cd568DD7573E081d405dA541ff82CbEc,11507675832773851643
0x9f251234641d50157884F8Fac332F02EEcF9A28B,24205598462008007036
0x4f1F3C36C2b9c83bb9F08204898E49aD9B74226F,112362488688041697
0x9370258ac65e11554F3C319979F8E168A3474a02,3030694113033497609
0xaC5B1cDF9260fBCd797A83C385CEB6b321Df7a91,0
0xDeEc375C4Da60D09f3d0a00bF71DA36fF6C086Dd,3130983866972852210
0x76B9e57CDB515bB19fb652F010A946cD3AF401DD,1
0x9a32e07BEF5E4E7bf16AD984f46146C40f9d2dbe,0
0x08E3551168450d5584620CA78166762D06c0DcFB,40268598960883950
0x564B31Fe75510a1ADB311AeCE4FAa63346Ed142C,2930426012070413092
0x189E61E95722f868cc3537b583Fb88A80cf6Be16,0
0x5D2cA9c220F66A5f181E53bAC510Fe1e1a0bA268,0
0x7cf9f878942489B7a1725D628A9E59fb1b38aB27,0
0x2Eb5162Af8E14393AD9e277d2234152437F45577,1
0xA0F5C93456EdfA257294E62ED2356902ae3c9BF0,1095796933629781690
0xA39FF3A816383e53F10521b0D3c70bDE6C3719BE,8924720916621149495
0x7a8179c8f1f45dFbB9787036aa328378ABF52b54,228920983155895931
0xdD302E5Af50eA2b089b23dBac33a630aD74C252A,0
0xa7CF13cde6d59a5Ec4F96285e44cf758f9a7da6d,50146926820499019
0x808Bc6C1539c1bd1e1eAc8ad4897C1fDA047697A,19830727807649284516
0x1002155825193612e972920338cF7C7bFcC15625,15670551833177507100694
0x82e4D78C6c62D461251fA5A1D4Deb9F0fE378E30,0
0x2003CF7F2Fe0F469bA50D647209195af69d153B6,0
0x8eb5B6578F7Fe15c833cb38144BC7bB7c3dB1ea0,0
0x7DA64Ba376697a73380289F60dAb556E3cc1D632,0
0x7aE68C76771131835e90AEfF44f1c03d07503B92,0
0xd392099378a1dC60362Acf1a61499bB508AC5295,0
0xe52bA6F91811439854b85CE79a9C65e8911c13aC,0
0xf486d56ccE70c481b3455aF901fCC4F03FeE8107,18283254658941133168
0x5a7BA787E7CF00f9Ce55CCf2C54Bf1C0C29231bF,887872505413122840
0x3bc87ef7c457B1eff37AD0A5323BD246A0F196f2,0
0x5D3fCeaD4a8E920B1B0b231627592B2671896122,8128682692639122086
0xA2b0E9Cb3cCa100D43Df9e80b345534F9b2b421e,2057192671412880978
0xb1C9F695ff402ca8fDc29629dA08DCe6640D5E51,0
0x47AD552c2dBfBAAdaf87d7285bBe0c98D7A50fd7,5887503245115991928910
0xE38cdf5d31CBd50D6d481A1F7EFEcB2Fa8f583FD,5824873887496791695
0x7c776e893F93fDaCCC44eF79d09596F6F95cd714,0
0xdC93d15DAf868F08e18d0646c62667410F1f212a,120131500244621472524
0xD825A6E027732C01e917d3f07DC11a9A6F1192d8,136631534812682508
